id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
104955,25448,Autobahn Racing,NULL,1997-11-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103204,3442,Automobili Lamborghini,NULL,1997-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
88646,128889,Aviation Adventure,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
11790,63270,Azito,NULL,1997-02-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113710,6545,Azure Dreams,"Azure Dreams is set in a town called Monsbaiya. Located in the desert, the town prospers only because of the Monster Tower looming over it. In this town lives a skilled and famous monster tamer named Guy. On a stormy day, Guy disappears in the tower, never to be seen again. Ever since he disappeared, Guy's family has struggled to get by, putting all their hopes on Koh, his son, who will be allowed to enter the tower when he turns 15. When Koh finally reaches adulthood, he meets a vagabond familiar named Kewne, a monster that can speak the human language. Kewne and Koh then embark on a quest to reach the top floor of the Monster Tower and find out the truth about Guy's fate.",1997-11-13 00:00:00.000,1,NULL,NULL,NULL,28.1215,5
109013,134825,AZUSA 999,NULL,1997-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
85579,39879,B. C. Story,NULL,1997-04-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
187965,78908,Babel,NULL,1997-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147265,200456,Baby Felix Creativity Center,NULL,1997-07-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92908,28410,Backpacker 2,NULL,1997-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91348,50299,Backyard Baseball (1997),NULL,1997-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146194,42520,Bakukyuu Renpatsu!! Super B-Daman,NULL,1997-12-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112597,134496,Bakushou Mondai no Totsugeki Star Pirates,NULL,1997-06-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
139876,177,Ballblazer Champions,NULL,1997-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13195,11097,Balls of Steel,NULL,1997-12-12 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
78702,159091,Bananas in Pyjamas: It's Fun Time,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4350,19401,Barbie Magic Fairy Tales: Barbie as Rapunzel,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
2172,144332,Barbie Storymaker,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133031,45165,Barbie: Magic Hair Styler,"Players could cut and style Barbie, Kira, Christie, or Teresa's hair, as well as regrow hair with a specific lengthening tool. They could also apply makeup including eyeshadow, lipstick, blush or ""fake"" tattoos. Application of makeup is limited to appropriate areas for makeup and using offbeat colors can trigger a ""that looks weird"" response from the game. 
 
Players could also add jewelry and thematic accessories. At the end of the styling session players can be ""treated to a video of your model at her special event -- wearing the look you've created for her."" Accessories meant to go with a certain career are limited to nurse, fireman, gym coach, or construction worker.",1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
87177,16590,Barkanoid,NULL,1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
173668,217827,Baseball,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115049,605,Baseball Mogul,NULL,1997-06-30 00:00:00.000,NULL,NULL,56.0000,1,NULL,NULL
100034,44806,Bastard!! Utsuro Naru Kamigami no Utsuwa,NULL,1997-01-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156346,198673,Batman & Robin,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
166156,38545,Battle Circuit,NULL,1997-04-19 00:00:00.000,NULL,NULL,NULL,NULL,70.2442,11
171571,218828,Battle Formation,NULL,1997-11-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9641,136864,Battle Stations,"Strategy is key to all naval combat games. You must anticipate your enemy's every move and sink them before they sink you. BATTLE STATIONS puts you in the admiral's chair of your own naval fleet and it's up to you to win the war. In the Arcade and Campaigns modes you will command patrol boats, subs, destroyers, carriers, battleships, troop transports, cruisers, and mine layers. Lead your fleet to victory and prove that you are the greatest admiral ever.",1997-05-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38198,46934,Battle Wrath,NULL,1997-05-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
143314,154988,Battleship,NULL,1997-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18828,40984,BCStory,NULL,1997-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
4949,14293,Beambender,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148514,8018,Beast Wars: Transformers,NULL,1997-12-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28156,39818,Beastorizer,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80716,50151,Beasts & Bumpkins,NULL,1997-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93238,20498,beatmania,NULL,1997-12-10 00:00:00.000,NULL,NULL,82.5000,3,NULL,NULL
136776,8463,Beavis and Butt-head: Screen Wreckers,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20150,62508,Bedlam 2: Absolute Bedlam,NULL,1997-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176543,39428,Behind Enemy Lines,NULL,1997-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70401,135275,Berusky,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
187350,8828,Betrayal in Antara,NULL,1997-07-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
175635,73207,Beyond Time,NULL,1997-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
90141,223474,Bicho,NULL,1997-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
107179,20135,Big Bass World Championship,NULL,1997-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
95822,35061,Big Thinkers 1st Grade,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,1
83982,119139,Black Raven,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24895,221817,Blackout,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110941,14312,Blade,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
112239,322,Blade Runner,"Based in the same time period as the 1982 movie of the same name, the story revolves around Ray McCoy's search for replicants.",1997-11-14 00:00:00.000,21,NULL,NULL,NULL,85.3056,52
3484,19579,Blades of Exile,NULL,1997-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
68866,3424,Blast Corps,NULL,1997-03-21 00:00:00.000,7,NULL,90.0000,1,75.1745,24
160568,45413,Blast Wind,NULL,1997-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
123261,26483,Blaster!,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52094,14611,Blitz Tennis,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
163006,147505,Block Buster,NULL,1997-09-16 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
48815,14323,Blockhead,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15385,7644,Blood,NULL,1997-05-31 00:00:00.000,26,NULL,NULL,NULL,81.0141,65
86527,48366,Blood of Jurassic,NULL,1997-07-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103467,2749,Bloody Roar,NULL,1997-07-10 00:00:00.000,5,NULL,NULL,NULL,76.7476,29
54255,75860,Blue Breaker: Egao no Yakusoku,NULL,1997-12-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71457,79427,Blue Heat: The Case of the Cover Girl Murders,NULL,1997-09-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156237,198067,Bomberman,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80678,3451,Bomberman 64,NULL,1997-09-26 00:00:00.000,10,NULL,NULL,NULL,62.6112,41
14197,109481,BON BON PARADISE,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171682,69111,Bonkheads,NULL,1997-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
125353,43857,Bottom of the 9th '97,NULL,1997-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92260,45412,Bouken Katsugeki Monomono,NULL,1997-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
52695,45949,Boundary Gate: Daughter of Kingdom,NULL,1997-01-24 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
55769,217657,Bowl-A-Rama,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118775,166447,Boys Be,"The game focuses upon the ups and downs, joys and sorrows of first love and teenage romance.",1997-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
157141,206473,Bradshaw Football '98,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14282,18250,Bravo Air Race,NULL,1997-07-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
159950,40816,Breakout 2000,NULL,1997-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
41358,18055,Breath of Fire III,NULL,1997-09-11 00:00:00.000,11,NULL,60.0000,1,76.6455,38
98739,62333,British Open Championship Golf,NULL,1997-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72125,19996,Broken Helix,NULL,1997-05-31 00:00:00.000,1,NULL,60.0000,1,NULL,NULL
